crisis_id,crisis_name,bargain_id,bargain_date,bargain_name,document_title,document_type,bargain_type,settlement_document_form,formalization_sequence,settlement_effect,formalization_sequence,constitutional_context,discourse_evidence,source_ids
CR-2001-02,Ratsiraka–Ravalomanana disputed presidential election and dual authority crisis,BARG-2002-01,2002-04-18,Dakar I Agreement,Dakar I Agreement,signed_political_agreement,internationally mediated multiparty agreement,signed_or_mediated_agreement,"2002-04-18; Dakar I Agreement; Provided for review/recount of presidential results, referendum if needed, government of national unity, consensus prime minister, and lifting of blockades/violence.; signed_or_mediated_agreement","Provided for review/recount of presidential results, referendum if needed, government of national unity, consensus prime minister, and lifting of blockades/violence.","2002-04-18; Dakar I Agreement; Provided for review/recount of presidential results, referendum if needed, government of national unity, consensus prime minister, and lifting of blockades/violence.; signed_or_mediated_agreement",,"Ravalomanana’s claim is coded as electoral mandate discourse: first-round victory, recount, and popular/electoral legitimacy.; Ratsiraka’s counter-claim is coded as constitutional/procedural legality discourse around the disputed election and runoff process.; Dakar/OAU mediation framed the crisis as requiring negotiated verification, stability, and avoidance of civil conflict.; prevent dual-power escalation and stabilize electoral dispute",SRC_BARG_2002_01; SRC_CRS_2009; DISCSRC_2002_IRIN; DISCSRC_2002_CPJ; DISCSRC_2002_DAKAR; ELTSRC_HOS; ELTSRC_PMVP
CR-2001-02,Ratsiraka–Ravalomanana disputed presidential election and dual authority crisis,BARG-2002-02,2002-06-09,Dakar II Agreement / Dakar II Settlement Plan,Dakar II Agreement / Dakar II Settlement Plan,signed_political_agreement,internationally mediated multiparty agreement,signed_or_mediated_agreement,"2002-06-09; Dakar II Agreement / Dakar II Settlement Plan; Proposed early legislative elections, transitional government and reconciliation council to settle competing presidential claims, but was overtaken by later political-constitutional developments.; signed_or_mediated_agreement","Proposed early legislative elections, transitional government and reconciliation council to settle competing presidential claims, but was overtaken by later political-constitutional developments.","2002-06-09; Dakar II Agreement / Dakar II Settlement Plan; Proposed early legislative elections, transitional government and reconciliation council to settle competing presidential claims, but was overtaken by later political-constitutional developments.; signed_or_mediated_agreement",,"Ravalomanana’s claim is coded as electoral mandate discourse: first-round victory, recount, and popular/electoral legitimacy.; Ratsiraka’s counter-claim is coded as constitutional/procedural legality discourse around the disputed election and runoff process.; Dakar/OAU mediation framed the crisis as requiring negotiated verification, stability, and avoidance of civil conflict.; prevent dual-power escalation and stabilize electoral dispute",SRC_BARG_2002_02; SRC_CRS_2009; DISCSRC_2002_IRIN; DISCSRC_2002_CPJ; DISCSRC_2002_DAKAR; ELTSRC_HOS; ELTSRC_PMVP
CR-2009,Ravalomanana–Rajoelina crisis and military-backed transfer to HAT,BARG-2009-01,2009-03-17,March 2009 military transfer ordinances and HAT institutional arrangement,March 2009 military transfer ordinances and HAT institutional arrangement,ordinance_transfer_act,domestic military-political executive-transfer arrangement,ordinance_or_executive_transfer,"2009-03-17; March 2009 military transfer ordinances and HAT institutional arrangement; Power passed from the president to military authority and then to Rajoelina/HAT. This was not a political agreement, but is an equivalent local settlement for executive formation.; ordinance_or_executive_transfer_act; A-2009-01; E-2009-01; E-2009-02; E-2009-03; constitutional_amendment; crisis_transfer_ordinance; transitional_basic_law; SRC_HCC_2009_AMEND; SRC_HCC_2009_ORDS; SRC_ACE_2009_003","Power passed from the president to military authority and then to Rajoelina/HAT. This was not a political agreement, but is an equivalent local settlement for executive formation.","2009-03-17; March 2009 military transfer ordinances and HAT institutional arrangement; Power passed from the president to military authority and then to Rajoelina/HAT. This was not a political agreement, but is an equivalent local settlement for executive formation.; ordinance_or_executive_transfer_act; A-2009-01; E-2009-01; E-2009-02; E-2009-03; constitutional_amendment; crisis_transfer_ordinance; transitional_basic_law; SRC_HCC_2009_AMEND; SRC_HCC_2009_ORDS; SRC_ACE_2009_003","A-2009-01; E-2009-01; E-2009-02; E-2009-03; modifies Article 15 shortly before executive rupture; dissolves government and transfers full powers to Military Directory; transfers full powers from Military Directory to Andry Rajoelina; creates HAT, suspends Senate and National Assembly, defines transition executive powers; formal_or_regular_revision; formalized_transition_or_exception",Rajoelina’s 2009 claim is coded as popular/revolutionary legitimacy against alleged authoritarianism and exclusion by Ravalomanana.; Ravalomanana and his supporters framed the 2009 transfer as a coup and defended constitutional continuity/electoral legality.; The one-day Military Directory is coded as an emergency/necessity transfer actor that converted coercive authority into transitional authority.; Ordinance n°2009-003 framed HAT authority through legal organization of public powers after the rupture.,SRC_BARG_2009_01; SRC_CRS_2009; SRC_HCC_2009_AMEND; SRC_HCC_2009_ORDS; SRC_ACE_2009_003; DISCSRC_2009_CRS; DISCSRC_2009_ORD003; ELTSRC_HOS; ELTSRC_PMVP
CR-2009-10,Maputo/Addis/Ivato transition bargaining after 2009 rupture,BARG-2009-02,2009-08-08,Accord politique de Maputo,Accord politique de Maputo,signed_political_agreement,internationally mediated multiparty agreement,signed_or_mediated_agreement,"2009-08-08; Accord politique de Maputo; Core framework agreement of the 2009 crisis; set principles for an inclusive, consensual transition and cross-referenced amnesty/implementation arrangements.; signed_or_mediated_agreement; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010","Core framework agreement of the 2009 crisis; set principles for an inclusive, consensual transition and cross-referenced amnesty/implementation arrangements.","2009-08-08; Accord politique de Maputo; Core framework agreement of the 2009 crisis; set principles for an inclusive, consensual transition and cross-referenced amnesty/implementation arrangements.; signed_or_mediated_agreement; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010","E-2009-04; E-2009-05; E-2010-01; C-2010-01; defines transitional principles, organs, election rules, amnesty and constitution-making principles; adds/clarifies transition power-sharing formula including presidential council logic; sets immediate political path toward referendum and Fourth Republic constitution; creates Fourth Republic and lowers presidential eligibility to 35; institutionalizes transition exit rules; formalized_transition_or_exception; formal_regular","The Maputo Charter framed transition through inclusiveness, power sharing, reconciliation, and internationally mediated return to order.; inclusive transition and negotiated exit from crisis",SRC_BARG_2009_02; SRC_CRS_2009; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010; DISCSRC_2009_PAX_MAPUTO; ELTSRC_PMVP
CR-2009-10,Maputo/Addis/Ivato transition bargaining after 2009 rupture,BARG-2009-03,2009-08-09,Charte des valeurs,Charte des valeurs,transition_charter,internationally mediated signed declaration/charter,transition_charter; foundational_or_bilateral_settlement,"2009-08-09; Charte des valeurs; Normative text committing the four leaders to non-violence, non-discrimination, tolerance, forgiveness, reconciliation and respect for promises during negotiations and transition.; transition_charter; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010","Normative text committing the four leaders to non-violence, non-discrimination, tolerance, forgiveness, reconciliation and respect for promises during negotiations and transition.","2009-08-09; Charte des valeurs; Normative text committing the four leaders to non-violence, non-discrimination, tolerance, forgiveness, reconciliation and respect for promises during negotiations and transition.; transition_charter; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010","E-2009-04; E-2009-05; E-2010-01; C-2010-01; defines transitional principles, organs, election rules, amnesty and constitution-making principles; adds/clarifies transition power-sharing formula including presidential council logic; sets immediate political path toward referendum and Fourth Republic constitution; creates Fourth Republic and lowers presidential eligibility to 35; institutionalizes transition exit rules; formalized_transition_or_exception; formal_regular","The Maputo Charter framed transition through inclusiveness, power sharing, reconciliation, and internationally mediated return to order.; inclusive transition and negotiated exit from crisis",SRC_BARG_2009_03; SRC_CRS_2009; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010; DISCSRC_2009_PAX_MAPUTO; ELTSRC_PMVP
CR-2009-10,Maputo/Addis/Ivato transition bargaining after 2009 rupture,BARG-2009-04,2009-08-09,Charte de la Transition,Charte de la Transition,transition_charter,internationally mediated transitional constitutional charter,transition_charter,"2009-08-09; Charte de la Transition; Operative transition constitution: transitional presidency, vice-presidency, government of national unity, bicameral transition legislature, reconciliation committee, CENI, constitutional drafting, elections and amnesty framework.; transition_charter; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010","Operative transition constitution: transitional presidency, vice-presidency, government of national unity, bicameral transition legislature, reconciliation committee, CENI, constitutional drafting, elections and amnesty framework.","2009-08-09; Charte de la Transition; Operative transition constitution: transitional presidency, vice-presidency, government of national unity, bicameral transition legislature, reconciliation committee, CENI, constitutional drafting, elections and amnesty framework.; transition_charter; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010","E-2009-04; E-2009-05; E-2010-01; C-2010-01; defines transitional principles, organs, election rules, amnesty and constitution-making principles; adds/clarifies transition power-sharing formula including presidential council logic; sets immediate political path toward referendum and Fourth Republic constitution; creates Fourth Republic and lowers presidential eligibility to 35; institutionalizes transition exit rules; formalized_transition_or_exception; formal_regular","The Maputo Charter framed transition through inclusiveness, power sharing, reconciliation, and internationally mediated return to order.; inclusive transition and negotiated exit from crisis",SRC_BARG_2009_04; SRC_CRS_2009; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010; DISCSRC_2009_PAX_MAPUTO; ELTSRC_PMVP
CR-2009-10,Maputo/Addis/Ivato transition bargaining after 2009 rupture,BARG-2009-05,2009-08-08,Accord n°1 de Maputo sur l’annulation des charges relatives aux événements de 2002,Accord n°1 de Maputo sur l’annulation des charges relatives aux événements de 2002,signed_political_agreement,internationally mediated ancillary accord,signed_or_mediated_agreement,2009-08-08; Accord n°1 de Maputo sur l’annulation des charges relatives aux événements de 2002; Provided annulment of charges related to the 2002 political events as part of reconciliation/amnesty bargaining.; signed_or_mediated_agreement; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010,Provided annulment of charges related to the 2002 political events as part of reconciliation/amnesty bargaining.,2009-08-08; Accord n°1 de Maputo sur l’annulation des charges relatives aux événements de 2002; Provided annulment of charges related to the 2002 political events as part of reconciliation/amnesty bargaining.; signed_or_mediated_agreement; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010,"E-2009-04; E-2009-05; E-2010-01; C-2010-01; defines transitional principles, organs, election rules, amnesty and constitution-making principles; adds/clarifies transition power-sharing formula including presidential council logic; sets immediate political path toward referendum and Fourth Republic constitution; creates Fourth Republic and lowers presidential eligibility to 35; institutionalizes transition exit rules; formalized_transition_or_exception; formal_regular","The Maputo Charter framed transition through inclusiveness, power sharing, reconciliation, and internationally mediated return to order.; inclusive transition and negotiated exit from crisis",SRC_BARG_2009_05; SRC_CRS_2009; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010; DISCSRC_2009_PAX_MAPUTO; ELTSRC_PMVP
CR-2009-10,Maputo/Addis/Ivato transition bargaining after 2009 rupture,BARG-2009-06,2009-08-08,Accord n°2 de Maputo sur le cas du Président Marc Ravalomanana,Accord n°2 de Maputo sur le cas du Président Marc Ravalomanana,signed_political_agreement,internationally mediated ancillary accord,signed_or_mediated_agreement,"2009-08-08; Accord n°2 de Maputo sur le cas du Président Marc Ravalomanana; Addressed the treatment, return/security conditions and political/legal status of former President Marc Ravalomanana during the transition.; signed_or_mediated_agreement; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010","Addressed the treatment, return/security conditions and political/legal status of former President Marc Ravalomanana during the transition.","2009-08-08; Accord n°2 de Maputo sur le cas du Président Marc Ravalomanana; Addressed the treatment, return/security conditions and political/legal status of former President Marc Ravalomanana during the transition.; signed_or_mediated_agreement; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010","E-2009-04; E-2009-05; E-2010-01; C-2010-01; defines transitional principles, organs, election rules, amnesty and constitution-making principles; adds/clarifies transition power-sharing formula including presidential council logic; sets immediate political path toward referendum and Fourth Republic constitution; creates Fourth Republic and lowers presidential eligibility to 35; institutionalizes transition exit rules; formalized_transition_or_exception; formal_regular","The Maputo Charter framed transition through inclusiveness, power sharing, reconciliation, and internationally mediated return to order.; inclusive transition and negotiated exit from crisis",SRC_BARG_2009_06; SRC_CRS_2009; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010; DISCSRC_2009_PAX_MAPUTO; ELTSRC_PMVP
CR-2009-10,Maputo/Addis/Ivato transition bargaining after 2009 rupture,BARG-2009-07,2009-08-08,Accord n°3 de Maputo sur l’annulation des poursuites et condamnations prononcées durant le régime Ravalomanana,Accord n°3 de Maputo sur l’annulation des poursuites et condamnations prononcées durant le régime Ravalomanana,signed_political_agreement,internationally mediated ancillary accord,signed_or_mediated_agreement,"2009-08-08; Accord n°3 de Maputo sur l’annulation des poursuites et condamnations prononcées durant le régime Ravalomanana; Annulled certain prosecutions and convictions of political, civilian and military figures from the Ravalomanana period.; signed_or_mediated_agreement; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010","Annulled certain prosecutions and convictions of political, civilian and military figures from the Ravalomanana period.","2009-08-08; Accord n°3 de Maputo sur l’annulation des poursuites et condamnations prononcées durant le régime Ravalomanana; Annulled certain prosecutions and convictions of political, civilian and military figures from the Ravalomanana period.; signed_or_mediated_agreement; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010","E-2009-04; E-2009-05; E-2010-01; C-2010-01; defines transitional principles, organs, election rules, amnesty and constitution-making principles; adds/clarifies transition power-sharing formula including presidential council logic; sets immediate political path toward referendum and Fourth Republic constitution; creates Fourth Republic and lowers presidential eligibility to 35; institutionalizes transition exit rules; formalized_transition_or_exception; formal_regular","The Maputo Charter framed transition through inclusiveness, power sharing, reconciliation, and internationally mediated return to order.; inclusive transition and negotiated exit from crisis",SRC_BARG_2009_07; SRC_CRS_2009; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010; DISCSRC_2009_PAX_MAPUTO; ELTSRC_PMVP
CR-2009-10,Maputo/Addis/Ivato transition bargaining after 2009 rupture,BARG-2009-08,2009-08-22,Annexe 1 — Adhésion à la Charte nationale de la transition,Annexe 1 — Adhésion à la Charte nationale de la transition,transition_charter,domestic/internationally supported adhesion instrument,transition_charter,2009-08-22; Annexe 1 — Adhésion à la Charte nationale de la transition; Broadened participation beyond the four main mouvances by adding organizations and entities that adhered to the Transition Charter.; transition_charter; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010,Broadened participation beyond the four main mouvances by adding organizations and entities that adhered to the Transition Charter.,2009-08-22; Annexe 1 — Adhésion à la Charte nationale de la transition; Broadened participation beyond the four main mouvances by adding organizations and entities that adhered to the Transition Charter.; transition_charter; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010,"E-2009-04; E-2009-05; E-2010-01; C-2010-01; defines transitional principles, organs, election rules, amnesty and constitution-making principles; adds/clarifies transition power-sharing formula including presidential council logic; sets immediate political path toward referendum and Fourth Republic constitution; creates Fourth Republic and lowers presidential eligibility to 35; institutionalizes transition exit rules; formalized_transition_or_exception; formal_regular","The Maputo Charter framed transition through inclusiveness, power sharing, reconciliation, and internationally mediated return to order.; inclusive transition and negotiated exit from crisis",SRC_BARG_2009_08; SRC_CRS_2009; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010; DISCSRC_2009_PAX_MAPUTO; ELTSRC_PMVP
CR-2009-10,Maputo/Addis/Ivato transition bargaining after 2009 rupture,BARG-2009-09,2009-11-06,Acte additionnel d’Addis-Abeba à la Charte de la Transition malgache,Acte additionnel d’Addis-Abeba à la Charte de la Transition malgache,transition_charter,internationally mediated amending act,transition_charter,"2009-11-06; Acte additionnel d’Addis-Abeba à la Charte de la Transition malgache; Amended the Maputo transition architecture, especially the allocation and composition of transitional offices after implementation disputes.; transition_charter; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010","Amended the Maputo transition architecture, especially the allocation and composition of transitional offices after implementation disputes.","2009-11-06; Acte additionnel d’Addis-Abeba à la Charte de la Transition malgache; Amended the Maputo transition architecture, especially the allocation and composition of transitional offices after implementation disputes.; transition_charter; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010","E-2009-04; E-2009-05; E-2010-01; C-2010-01; defines transitional principles, organs, election rules, amnesty and constitution-making principles; adds/clarifies transition power-sharing formula including presidential council logic; sets immediate political path toward referendum and Fourth Republic constitution; creates Fourth Republic and lowers presidential eligibility to 35; institutionalizes transition exit rules; formalized_transition_or_exception; formal_regular","The Maputo Charter framed transition through inclusiveness, power sharing, reconciliation, and internationally mediated return to order.; inclusive transition and negotiated exit from crisis",SRC_BARG_2009_09; SRC_CRS_2009; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010; DISCSRC_2009_PAX_MAPUTO; ELTSRC_PMVP
CR-2009-10,Maputo/Addis/Ivato transition bargaining after 2009 rupture,BARG-2009-10,2009-12,Résolutions des trois mouvances relatives à la mise en application des Accords de Maputo et de l’Acte additionnel d’Addis-Abeba,Résolutions des trois mouvances relatives à la mise en application des Accords de Maputo et de l’Acte additionnel d’Addis-Abeba,signed_political_agreement,partial follow-on implementation resolution,signed_or_mediated_agreement,"2009-12; Résolutions des trois mouvances relatives à la mise en application des Accords de Maputo et de l’Acte additionnel d’Addis-Abeba; Attempted to continue implementation of Maputo/Addis after Rajoelina's withdrawal/refusal, but lacked full buy-in.; signed_or_mediated_agreement; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010","Attempted to continue implementation of Maputo/Addis after Rajoelina's withdrawal/refusal, but lacked full buy-in.","2009-12; Résolutions des trois mouvances relatives à la mise en application des Accords de Maputo et de l’Acte additionnel d’Addis-Abeba; Attempted to continue implementation of Maputo/Addis after Rajoelina's withdrawal/refusal, but lacked full buy-in.; signed_or_mediated_agreement; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010","E-2009-04; E-2009-05; E-2010-01; C-2010-01; defines transitional principles, organs, election rules, amnesty and constitution-making principles; adds/clarifies transition power-sharing formula including presidential council logic; sets immediate political path toward referendum and Fourth Republic constitution; creates Fourth Republic and lowers presidential eligibility to 35; institutionalizes transition exit rules; formalized_transition_or_exception; formal_regular","The Maputo Charter framed transition through inclusiveness, power sharing, reconciliation, and internationally mediated return to order.; inclusive transition and negotiated exit from crisis",SRC_BARG_2009_10; SRC_CRS_2009; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010; DISCSRC_2009_PAX_MAPUTO; ELTSRC_PMVP
CR-2009-10,Maputo/Addis/Ivato transition bargaining after 2009 rupture,BARG-2010-01,2010-08-11,Accord politique d’Ivato,Accord politique d’Ivato,signed_political_agreement,domestic/local political accord,signed_or_mediated_agreement,2010-08-11; Accord politique d’Ivato; Presented by the HAT as a new inclusive exit accord governing the transition and the return to constitutional order; lacked full buy-in from the major rival mouvances.; signed_or_mediated_agreement; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010,Presented by the HAT as a new inclusive exit accord governing the transition and the return to constitutional order; lacked full buy-in from the major rival mouvances.,2010-08-11; Accord politique d’Ivato; Presented by the HAT as a new inclusive exit accord governing the transition and the return to constitutional order; lacked full buy-in from the major rival mouvances.; signed_or_mediated_agreement; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010,"E-2009-04; E-2009-05; E-2010-01; C-2010-01; defines transitional principles, organs, election rules, amnesty and constitution-making principles; adds/clarifies transition power-sharing formula including presidential council logic; sets immediate political path toward referendum and Fourth Republic constitution; creates Fourth Republic and lowers presidential eligibility to 35; institutionalizes transition exit rules; formalized_transition_or_exception; formal_regular","The Maputo Charter framed transition through inclusiveness, power sharing, reconciliation, and internationally mediated return to order.; inclusive transition and negotiated exit from crisis",SRC_BARG_2010_01; SRC_CRS_2009; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010; DISCSRC_2009_PAX_MAPUTO; ELTSRC_PMVP
CR-2011,SADC Roadmap implementation crisis,BARG-2011-01,2011-09-17,Feuille de route pour la sortie de crise à Madagascar / SADC Roadmap,Feuille de route pour la sortie de crise à Madagascar / SADC Roadmap,roadmap,SADC-mediated political roadmap,roadmap,"2011-09-17; Feuille de route pour la sortie de crise à Madagascar / SADC Roadmap; Breakthrough settlement after failures of Maputo/Addis/Ivato; provided transitional participation, consensus prime minister, government of national unity, election commitments, amnesty/reconciliation and international accompaniment.; mediated_roadmap; E-2011-01; internationally_mediated_roadmap; SRC_PEACEMAKER_2011","Breakthrough settlement after failures of Maputo/Addis/Ivato; provided transitional participation, consensus prime minister, government of national unity, election commitments, amnesty/reconciliation and international accompaniment.","2011-09-17; Feuille de route pour la sortie de crise à Madagascar / SADC Roadmap; Breakthrough settlement after failures of Maputo/Addis/Ivato; provided transitional participation, consensus prime minister, government of national unity, election commitments, amnesty/reconciliation and international accompaniment.; mediated_roadmap; E-2011-01; internationally_mediated_roadmap; SRC_PEACEMAKER_2011","E-2011-01; sets return-to-order pathway, transition institutions, election and reconciliation commitments; formalized_transition_or_exception","The SADC Roadmap framed legitimacy as return to constitutional order through negotiated, internationally monitored elections.; roadmap for ending the crisis",SRC_BARG_2011_01; SRC_PEACEMAKER_2011_ROADMAP; SRC_PEACEMAKER_2011; DISCSRC_2011_MJP_ROADMAP; ELTSRC_PMVP
CR-2011,SADC Roadmap implementation crisis,BARG-2011-02,2011-10-14,Cadre de mise en œuvre de la Feuille de route,Cadre de mise en œuvre de la Feuille de route,roadmap,implementation framework,roadmap,"2011-10-14; Cadre de mise en œuvre de la Feuille de route; Sequenced implementation of the SADC Roadmap, including consensus prime minister, transitional government and parliament.; mediated_roadmap; E-2011-01; internationally_mediated_roadmap; SRC_PEACEMAKER_2011","Sequenced implementation of the SADC Roadmap, including consensus prime minister, transitional government and parliament.","2011-10-14; Cadre de mise en œuvre de la Feuille de route; Sequenced implementation of the SADC Roadmap, including consensus prime minister, transitional government and parliament.; mediated_roadmap; E-2011-01; internationally_mediated_roadmap; SRC_PEACEMAKER_2011","E-2011-01; sets return-to-order pathway, transition institutions, election and reconciliation commitments; formalized_transition_or_exception","The SADC Roadmap framed legitimacy as return to constitutional order through negotiated, internationally monitored elections.; roadmap for ending the crisis",SRC_BARG_2011_02; SRC_PEACEMAKER_2011_ROADMAP; SRC_PEACEMAKER_2011; DISCSRC_2011_MJP_ROADMAP; ELTSRC_PMVP
CR-2011,SADC Roadmap implementation crisis,BARG-2012-01,2012-07-30,Code d’éthique et de bonne conduite politique des acteurs politiques pendant la Transition,Code d’éthique et de bonne conduite politique des acteurs politiques pendant la Transition,roadmap,domestic legal implementation of mediated roadmap,roadmap,"2012-07-30; Code d’éthique et de bonne conduite politique des acteurs politiques pendant la Transition; Legal code of political conduct required by the Roadmap to regulate political actors during the transition, prevent discriminatory/abusive practices and support crisis-exit conditions.; mediated_roadmap; E-2011-01; internationally_mediated_roadmap; SRC_PEACEMAKER_2011","Legal code of political conduct required by the Roadmap to regulate political actors during the transition, prevent discriminatory/abusive practices and support crisis-exit conditions.","2012-07-30; Code d’éthique et de bonne conduite politique des acteurs politiques pendant la Transition; Legal code of political conduct required by the Roadmap to regulate political actors during the transition, prevent discriminatory/abusive practices and support crisis-exit conditions.; mediated_roadmap; E-2011-01; internationally_mediated_roadmap; SRC_PEACEMAKER_2011","E-2011-01; sets return-to-order pathway, transition institutions, election and reconciliation commitments; formalized_transition_or_exception","The SADC Roadmap framed legitimacy as return to constitutional order through negotiated, internationally monitored elections.; roadmap for ending the crisis",SRC_BARG_2012_01; SRC_PEACEMAKER_2011_ROADMAP; SRC_PEACEMAKER_2011; DISCSRC_2011_MJP_ROADMAP; ELTSRC_PMVP
